Season,Hour_of_week,Pre_COVID,COVID,Difference
Summer,135,4717.320153846154,3977.556923076923,-739.7632307692315
Summer,136,4907.835076923077,4298.87076923077,-608.9643076923076
Summer,137,5063.558769230766,4653.3538461538465,-410.20492307691984
Summer,138,5081.778923076924,4920.328461538461,-161.45046153846306
Summer,139,4966.475538461539,4977.352307692307,10.876769230767422
Summer,140,4854.009384615384,4900.555384615384,46.54600000000028
Summer,141,4719.3875384615385,4705.965384615385,-13.422153846153378
Summer,142,4443.539230769231,4463.491538461539,19.95230769230784
Summer,143,4318.383692307692,4326.001538461539,7.617846153846585
Summer,144,4520.104307692307,4460.726153846153,-59.37815384615442
Summer,145,4118.922923076922,4167.639230769231,48.716307692308874
Summer,146,3847.2819999999997,3914.926923076923,67.64492307692308
Summer,147,3680.790461538461,3742.7553846153846,61.9649230769237
Summer,148,3626.1806153846155,3704.808461538461,78.62784615384544
Summer,149,3656.6152307692305,3721.1938461538457,64.5786153846152
Summer,150,3742.4738461538464,3803.1692307692306,60.69538461538423
Summer,151,3922.714,3882.7815384615387,-39.93246153846121
Summer,152,3999.028769230769,3809.0569230769233,-189.9718461538455
Summer,153,4108.203538461539,3763.424615384615,-344.778923076924
Summer,154,4188.094769230769,3712.834615384616,-475.2601538461531
Summer,155,4235.636615384615,3688.076153846154,-547.5604615384609
Summer,156,4271.234153846152,3692.856923076923,-578.3772307692293
Summer,157,4316.4516923076935,3662.7507692307695,-653.700923076924
Summer,158,4414.824769230768,3771.767692307692,-643.0570769230758
Summer,159,4580.259538461537,3992.509230769231,-587.7503076923058
Summer,160,4814.1070769230755,4321.088461538462,-493.01861538461344
Summer,161,5050.271846153848,4797.04,-253.23184615384798
Summer,162,5137.417538461537,5093.526923076923,-43.89061538461465
Summer,163,5024.793076923076,5153.566923076924,128.77384615384744
Summer,164,4923.145692307693,5059.085384615385,135.93969230769198
Summer,165,4753.291692307693,4803.8115384615385,50.51984615384572
Summer,166,4420.516615384617,4449.06,28.54338461538373
Summer,167,4264.582461538462,4281.211538461538,16.629076923076354
Autumn,0,4602.923387096775,4594.626956521739,-8.296430575035629
Autumn,1,4222.3570967741925,4292.681304347826,70.32420757363343
Autumn,2,3928.887258064516,4032.9691304347825,104.08187237026641
Autumn,3,3729.490967741937,3829.590869565218,100.09990182328102
